,0_start,1_start,2_start,3_start,4_start,5_start,6_start,7_start,8_start,9_start,10_start,11_start,12_start,13_start,14_start,15_start,16_start,17_start,18_start,19_start,20_start,21_start,22_start,23_start,0_end,1_end,2_end,3_end,4_end,5_end,6_end,7_end,8_end,9_end,10_end,11_end,12_end,13_end,14_end,15_end,16_end,17_end,18_end,19_end,20_end,21_end,22_end,23_end
Madison St & 10 St,0,0,0,0,0,0,1,3,2,0,1,0,1,2,4,1,4,1,2,0,0,2,0,0,0,0,0,0,0,0,1,1,2,1,2,0,0,0,1,3,1,2,2,0,0,2,1,0
Columbus Drive,0,0,0,0,0,0,1,1,4,1,0,2,2,2,1,1,2,4,12,3,1,1,2,0,0,2,0,0,0,0,0,2,5,4,0,0,2,2,3,1,3,3,8,5,2,1,1,0
Grand St & 14 St,0,0,0,0,0,0,1,1,1,2,1,0,0,2,1,2,2,2,3,0,2,1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,2,1,0,4,3,4,2,1,0,0,1
Montgomery St,0,0,0,0,0,0,1,0,1,0,1,2,0,2,0,1,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,2,0,0,1,2,1,0,0,1,0
Jersey & 3rd,0,0,0,0,0,0,1,4,5,0,1,0,0,0,0,1,1,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,2,1,2,4,3,1,1,0
9 St HBLR - Jackson St & 8 St,0,0,0,0,0,0,1,5,3,5,1,0,0,1,0,2,2,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,5,3,0,7,3,3,0,0,0,0
Columbus Park - Clinton St & 9 St,0,0,0,0,0,0,1,1,3,3,3,3,1,0,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,0,1,0,2,2,0,3,1,4,1,2,0,0,1
6 St & Grand St,0,0,0,0,0,0,1,1,3,1,1,1,1,2,1,1,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,2,2,1,9,3,0,1,0,0
Liberty Light Rail,0,0,0,0,0,0,1,6,8,1,0,0,0,0,0,0,3,1,2,4,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,2,2,4,6,8,1,0,0,2
Van Vorst Park,0,0,0,0,0,0,1,1,4,3,1,2,2,0,1,3,0,0,1,6,1,2,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,2,3,2,7,8,2,2,2,0
Brunswick St,0,0,0,0,0,0,1,1,11,4,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,1,1,0,3,3,2,2,1,1,0
Newport PATH,0,0,0,0,0,0,1,3,5,2,1,1,2,1,2,6,4,14,9,3,0,1,0,0,0,0,0,0,0,1,3,7,4,3,2,1,2,2,0,2,5,10,9,3,0,1,0,0
Morris Canal,0,0,0,0,0,0,1,2,3,0,0,0,1,0,0,1,2,3,5,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,2,2,4,2,2,0,0,1,0
Mama Johnson Field - 4 St & Jackson St,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0
14 St Ferry - 14 St & Shipyard Ln,0,0,0,0,0,0,1,1,4,2,0,3,1,1,0,2,3,2,4,0,1,0,0,0,0,0,0,0,0,0,0,4,2,1,1,1,0,0,1,1,0,4,3,3,1,3,0,0
Adams St & 12 St,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,0,2,1,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,5,1,1,1,0,1
Hoboken Ave at Monmouth St,0,0,0,0,0,0,1,1,0,1,3,0,2,3,1,1,1,2,6,1,1,0,0,0,0,0,0,0,0,0,0,2,5,1,2,2,0,3,0,3,2,7,1,3,0,0,1,0
Southwest Park - Jackson St & Observer Hwy,0,0,0,0,0,0,0,8,2,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,3,3,0,3,1,0,0
8 St & Washington St,0,0,0,0,0,0,0,6,6,1,1,1,3,1,0,3,2,1,2,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,4,3,1,2,1,2,1,1,3,4,1,0,0,1
Monmouth and 6th,0,0,0,0,0,0,0,4,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,6,2,1,1,0,0
Willow Ave & 12 St,0,0,0,0,0,0,0,3,4,2,0,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,1,1,4,1,1,1,0,0
City Hall,0,0,0,0,0,0,0,3,0,3,0,4,1,3,1,0,2,1,1,6,0,0,3,0,0,0,0,0,0,0,0,0,5,1,1,0,3,0,1,1,0,4,3,2,1,1,0,0
Warren St,0,0,0,0,0,0,0,2,5,1,0,1,2,2,1,1,1,3,5,8,2,3,0,0,0,0,0,0,0,0,1,2,3,1,1,1,4,0,1,1,2,4,8,2,0,0,0,0
12 St & Sinatra Dr N,0,0,0,0,0,0,0,2,5,1,0,1,3,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,3,2,1,3,1,0,0,0,0
